,City,ID,Lat,Lon,Temp
0,Friedrichshafen,2924585,47.650002,9.48333,7.23
1,Freiburg,2925177,47.995899,7.85222,12.33
2,Stuttgart,2825297,48.782318,9.17702,11.0
3,Wuerzburg,2805615,49.787781,9.93611,10.29
4,Pforzheim,2853969,48.883331,8.7,12.07
5,Crailsheim,2939797,49.134441,10.07193,10.1
6,Ulm,2820256,48.398411,9.99155,9.17
7,Memmingen,2871992,47.983719,10.18527,8.22
8,Augsburg,2954172,48.366669,10.88333,8.98
9,Rotthalmunster,2843682,48.35825,13.20162,6.0
10,Muenchen,2867714,48.137428,11.57549,9.31
11,Regensburg,2849483,49.014999,12.09556,8.85
12,Bayreuth,2951825,49.948059,11.57833,10.5
13,Nuremberg,2861650,49.447781,11.06833,9.95
14,Zwickau,2803560,50.73333,12.5,8.61
15,Cottbus,2939811,51.76667,14.33333,10.39
16,Chemnitz,2940132,50.833328,12.91667,9.51
17,Leipzig,2879139,51.339619,12.37129,10.47
18,Erfurt,2929670,50.98333,11.03333,10.0
19,Magdeburg,2874545,52.166672,11.66667,8.74
20,Frankfurt am Main,2925533,50.116669,8.68333,12.05
21,Marburg,2158777,-27.566669,152.583328,26.45
22,Kaiserslautern,2894003,49.450001,7.75,10.75
23,Koblenz,2660123,47.609718,8.2375,9.07
24,Kassel,2892518,51.316669,9.5,10.02
25,Bonn,2946447,50.73333,7.1,10.68
26,Dusseldorf,2934246,51.221722,6.77616,10.99
27,Meppen,2871845,52.690639,7.29097,8.01
28,Berlin,2950158,54.033329,10.45,7.63
29,Dortmund,2935517,51.51667,7.45,10.55
30,Muenster,2867543,51.96236,7.62571,9.54
31,Bielefeld,2949186,52.033329,8.53333,9.0
32,Hannover,2910831,52.370522,9.73322,9.43
33,Bremen,2944387,53.083328,8.83333,9.0
34,Hamburg,2911298,53.549999,10.0,8.0
35,Kiel,2891122,54.321331,10.13489,6.49
36,Rostock,2844588,54.088699,12.14049,8.0
37,Aachen,3247449,50.776642,6.08342,9.98
38,Fulda,2923822,50.55162,9.67518,11.0
39,Tor,359678,28.23638,33.625401,16.0
40,Suez,359796,29.973709,32.526272,7.24
41,Cairo,360630,30.06263,31.24967,15.0
42,El Arish,2167618,-17.816669,146.0,22.99
43,Port Said,358619,31.25654,32.284119,15.0
44,Alexandria,1023365,-33.653461,26.41268,22.61
45,Marsa Matruh,352733,31.352539,27.245279,16.0
46,Remada,2467783,32.31662,10.39551,11.0
47,Tataouine,2464701,32.929668,10.45177,11.0
48,Mellita,2469329,33.863178,10.80154,11.24
49,Kebili,2468018,33.704391,8.96903,11.16
50,Sfax,2467454,34.740559,10.76028,11.0
51,Sidi Bouzid,2465840,35.038231,9.48494,9.74
52,Mahdia,2473572,35.504719,11.06222,16.0
53,Thala,2464795,35.572441,8.67031,6.0
54,El Kef,2473634,36.17424,8.70486,8.0
55,Enfida,2473358,36.135281,10.38083,12.88
56,Beja,2270985,38.01506,-7.86323,9.0
57,Adrar,2508813,27.87429,-0.29388,16.0
58,Timimoun,2476403,29.26388,0.23098,11.51
59,El Golea,2498305,30.566669,2.88333,11.09
60,Hassi Messaoud,2494029,31.68041,6.07286,12.0
61,Bechar,2505530,31.616671,-2.21667,13.0
62,Ghardaïa,2496049,32.49094,3.67347,11.0
63,Ain Sefra,2507943,32.75,-0.58333,-3.34
64,El Oued,2497411,33.356079,6.86319,9.36
65,El Bayadh,2498543,33.683182,1.01927,0.34
66,Mecheria,2489865,33.544529,-0.28117,5.0
67,Laghouat,2491191,33.799999,2.86514,5.74
68,Djelfa,2500017,34.672791,3.263,1.86
69,Biskra,2503826,34.85038,5.72805,16.0
70,Maghnia,2490584,34.849689,-1.72753,6.73
71,Sidi Bel Abbes,2481007,35.189941,-0.63085,9.15
72,Bou Saâda,2502385,35.208549,4.17402,5.46
73,Ksar Chellala,2491335,35.212219,2.31889,1.76
74,Relizane,2483668,35.737339,0.55599,6.84
75,Oran,1261037,25.383329,80.75,8.91
76,Khenchela,2491889,35.435829,7.14333,0.59
77,Setif,2481700,36.19112,5.41373,8.74
78,Algiers,2507480,36.752499,3.04197,8.0
79,Constantine,2501152,36.365002,6.61472,6.0
80,Bouira,2502958,36.374889,3.902,2.84
81,Ténès,2477148,36.510761,1.30809,10.0
82,Bejaia,2505329,36.755871,5.08433,7.19
83,Annaba,2506999,36.900002,7.76667,10.0
84,Ceuta,2519582,35.890282,-5.3075,14.21
85,Errachidia,2549340,31.75,-4.5,2.71
86,Midelt,2542227,32.6852,-4.74512,-3.34
87,Beni-Mellal,2555742,32.5,-6.33333,6.86
88,Nouaceur,6547299,33.458389,-7.64726,10.0
89,Casablanca,2553604,33.592781,-7.61916,10.0
90,Meknes,2542715,33.89352,-5.54727,8.55
91,Rabat,2538474,33.991112,-6.84006,10.0
92,Taza,2529313,34.25,-3.75,2.46
93,Al Hoceima,2558545,35.243328,-3.93092,11.0
94,Chefchaouene,2553455,35.168781,-5.2636,12.0
95,Tabuk,101628,28.383329,36.583328,9.0
96,Al Qurayyat,108648,31.33176,37.342819,10.0
97,Aqaba,250774,29.52667,35.007778,14.0
98,At Tafilah,250198,30.837521,35.60442,5.66
99,Amman,250441,31.955219,35.94503,6.95
100,Irbid,248944,32.5,35.833328,8.0
101,Tel Aviv,293397,32.080879,34.780571,12.0
102,Haifa,294801,32.815559,34.98917,18.59
103,Tripoli,2210247,32.875191,13.18746,17.34
104,Beirut,276781,33.888939,35.494419,15.0
105,Damascus,170654,33.510201,36.291279,8.0
106,Hama,1854585,32.650002,128.816666,17.56
107,Latakia,173576,35.514839,35.77684,11.0
108,Al Hasakah,173811,36.502369,40.747719,5.0
109,Yerevan,616051,40.183331,44.5,-3.39
