,City,ID,Lat,Lon
0,Friedrichshafen,2924585,47.650002,9.48333
1,Freiburg,2925177,47.995899,7.85222
2,Stuttgart,2825297,48.782318,9.17702
3,Wuerzburg,2805615,49.787781,9.93611
4,Pforzheim,2853969,48.883331,8.7
5,Crailsheim,2939797,49.134441,10.07193
6,Ulm,2820256,48.398411,9.99155
7,Memmingen,2871992,47.983719,10.18527
8,Augsburg,2954172,48.366669,10.88333
9,Rotthalmunster,2843682,48.35825,13.20162
10,Muenchen,2867714,48.137428,11.57549
11,Regensburg,2849483,49.014999,12.09556
12,Bayreuth,2951825,49.948059,11.57833
13,Nuremberg,2861650,49.447781,11.06833
14,Zwickau,2803560,50.73333,12.5
15,Cottbus,2939811,51.76667,14.33333
16,Chemnitz,2940132,50.833328,12.91667
17,Leipzig,2879139,51.339619,12.37129
18,Erfurt,2929670,50.98333,11.03333
19,Magdeburg,2874545,52.166672,11.66667
20,Frankfurt am Main,2925533,50.116669,8.68333
21,Marburg,2158777,-27.566669,152.583328
22,Kaiserslautern,2894003,49.450001,7.75
23,Koblenz,2660123,47.609718,8.2375
24,Kassel,2892518,51.316669,9.5
25,Bonn,2946447,50.73333,7.1
26,Dusseldorf,2934246,51.221722,6.77616
27,Meppen,2871845,52.690639,7.29097
28,Berlin,2950158,54.033329,10.45
29,Dortmund,2935517,51.51667,7.45
30,Muenster,2867543,51.96236,7.62571
31,Bielefeld,2949186,52.033329,8.53333
32,Hannover,2910831,52.370522,9.73322
33,Bremen,2944387,53.083328,8.83333
34,Hamburg,2911298,53.549999,10.0
35,Kiel,2891122,54.321331,10.13489
36,Rostock,2844588,54.088699,12.14049
37,Aachen,3247449,50.776642,6.08342
38,Fulda,2923822,50.55162,9.67518
39,Tor,359678,28.23638,33.625401
40,Suez,359796,29.973709,32.526272
41,Cairo,360630,30.06263,31.24967
42,El Arish,2167618,-17.816669,146.0
43,Port Said,358619,31.25654,32.284119
44,Alexandria,1023365,-33.653461,26.41268
45,Marsa Matruh,352733,31.352539,27.245279
46,Remada,2467783,32.31662,10.39551
47,Tataouine,2464701,32.929668,10.45177
48,Mellita,2469329,33.863178,10.80154
49,Kebili,2468018,33.704391,8.96903
50,Sfax,2467454,34.740559,10.76028
51,Sidi Bouzid,2465840,35.038231,9.48494
52,Mahdia,2473572,35.504719,11.06222
53,Thala,2464795,35.572441,8.67031
